"id","date","post_author","text","mentions","total_views","total_fwds","hidden_edit","last_edit_date","scheduled","via_bot_id","noforwards","ttl_period","reactions","fwd_title","fwd_username","fwd_channel_id","title"
3233,1654181586,"channel","**«Приму беженку с Украины», «Возьму беженку. Полностью обеспечу», «Возьму себе девочку на постоянное жильё».
**Такие посты, написанные российскими мужчинами, стали появляться в группах помощи беженцам в соцсетях после 24 февраля.

Одни авторы предлагают беженкам помощь __в обмен на секс или ули услуги по дому.__ Другие утверждают, что всерьёз рассчитывают найти таким образом партнёршу для серьёзных отношений. Некоторые думают, что, если они «спасут» девушку в тяжёлой ситуации, она __непременно станет__ для них верной и благодарной женой.

[«Вёрстка»](https://t.me/svobodnieslova) исследовала больше сотни объявлений, связалась с авторами и узнала, почему их так интересуют именно женщины-беженки. Нашим журналисткам мужчины в ходе разговоров тоже предлагали познакомиться поближе или поселиться у них.

Также мы нашли украинку, которая __рискнула принять предложение__ и приехать к такому мужчине и выяснили, как развивалась эта история - читайте обо всем этом [большой материал на нашем сайте](http://verstka.media/bezhenki-rossiyskie-muzhshiny/?utm_source=telegram&utm_medium=post&utm_campaign=bezhenki).

__Подписывайтесь на «Вёрстку» ____@svobodnieslova__",0,5395,148,1,1654181615,0,,0,,"[(🤬, 415), (😱, 32), (👍, 6), (🤔, 4), (😢, 4), (🥰, 3), (🤯, 3)]","Вёрстка","svobodnieslova",,"Феминистское Антивоенное Сопротивление"
3210,1654166708,"channel","**Проектный хаб Reshim. придуман для того, чтобы помогать тем, кто уже помогает.** 

Его задача — облегчить связанным с войной гуманитарным проектам выполнение их миссий. Сейчас Reshim. собирает пул опытных экспертов, создает сервис НКО без образования юр. лица, собирает профессиональный фонд для инвестирования в перспективные проекты. Кроме того, хаб собирает каталог из уже существующих решений актуальных гуманитарных проблем и предлагает площадку для обсуждения, поиска нестандартных подходов и мнений.    

Reshim. [поговорили с «Антивоенным фондом»](https://reshim.org/13382041d23f4e568cda20dc4ce6fbed) о том, как война все больше вмешивается в трудовую деятельность людей, о том, как вы сопротивляетесь и о том, что мы делаем, чтобы вам помочь.

__Если на вас давят на работе из-за антивоенной позиции, нарушают ваши трудовые права, вы хотите организовать забастовку или профсоюз, и вам требуется юридическая или консультационная поддержка — __[__пишите нам__](https://cryptpad.fr/form/#/2/form/view/LdD1zufD3MLlUMDvI5FdU569AuY7GXAWZLcvJVOg2k0/)__.__",0,5029,9,1,1654166745,0,,0,,"[(🔥, 63), (👍, 8), (🥰, 3), (🤯, 2), (😢, 1)]","АнтиФонд","strikefund",,"Феминистское Антивоенное Сопротивление"
3145,1654020310,"channel","**«Медиа Партизаны» объявляют ещё один набор в команду** 🔥

«__Мы обычные ребята - такие же, как и вы»

С этих слов начиналась работа над каналом «Медиа Партизаны». Прошло два месяца - за это время мы смогли вырасти из обычного открытого чата в сильную творческую инициативу. В рамках нашего канала и совместной работы с другими организациями нам удалось запустить несколько полезных проектов. Мы полностью осознаем свой уровень ответственности перед вами и нашей общей «мечтой» 🌱

**🔥 Для развития идей канала «Медиа Партизаны» мы открываем набор по данным направлениям:

**__**➤ ~~ТЕКСТ__ __~~**~~- __редакторы и копирайтеры для статей__;~~
➤ **ГРАФИЧЕСКИЙ ДИЗАЙН** 
➤ **SMM

**__*Если вы хотите помочь сопротивлению и стать частью нашей команды - пишите __**__@mpartisans_bot__**__ **🔥
**У нас много задач и возможностей для вас - достаточно лишь вашего желания помочь. Мы можем вместе работать в интересах свободы и мира 🌱 Формат__ __сотрудничества вы выбираете для себя сами__.

**__🔥 Так же нам__** **__нужны:

__➤ 3D-художник **__окружения__;
**➤ Концепт-художник**__ со знанием matte-painting__;
**➤ Backend-разботчик**__ на Python__;
**➤** **Программист** __для настройки ботов в Telegram__.

**__Мы будем рады получить от вас рекомендации и помощь по развитию других__ __проектов от__ __нашей команды ✨

🔥 Помните__**__ - каждый из вас может стать частью информационной войны__ - [**__ссылка на публикацию__**](https://t.me/mpartisans/164). **__Для обеспечения вашей безопасности__ __мы обеспечим вас всеми необходимыми ресурсами__**__.

По вопросам сотрудничества и совместных проектов пишите в__ **__@mpartisans_bot__**__**
**Ваши **«Медиа Партизаны»**__",0,4299,26,1,1654020395,0,,0,,"[(👍, 50), (🔥, 5), (🤯, 2), (👏, 1)]","Медиа Партизаны | Нет войне","mpartisans",,"Феминистское Антивоенное Сопротивление"
3144,1654017422,"channel","**Вечер писем политзаключённым в Тбилиси**

После 24 февраля репрессии внутри страны только усилились. С каждым днём людей, которых преследуют за слова и гражданскую позицию становится только больше.

За антивоенную позицию уже сидят художница Саша Скочиленко, петербурженка Виктория Петрова, активистки Мария Пономаренко и Ольга Смирнова, политик Владимир Кара-Мурза и многие другие. 

Продолжают сидеть фигуранты дела «Сети», Московского и Дворцового дел, журналисты, правозащитники, активистки и активисты. Среди политзаключённых есть также граждане Украины и Беларуси.

Каждому из них нужна поддержка. Самый простой способ оказать её — подписать открытку 💌

Приходите на вечер открыток 4 июня в Тбилиси. Поможем узникам вместе!

📍 Тбилиси, Батлеми 23, пространство DOM
🕐 4 июня с 17:00 до 20:00 

__Мероприятие проходит при поддержке __[__Frame__](https://t.me/framespb)__ и «Узник Онлайн».__",0,5457,17,1,1654017655,0,,0,,"[(👍, 60), (❤, 13), (🤯, 1), (😢, 1)]","Узник онлайн","UznikOnline",,"Феминистское Антивоенное Сопротивление"
3142,1654010116,"channel","Российские власти не сообщают о потерях личного состава в “спецоперации” в Украине с конца марта. В России более 140 военных госпиталей, но раненых вывозят и в гражданские больницы, а в приграничные районы командируют врачей со всей страны. 

Родственники военных ищут для них в соцсетях доноров и деньги на реабилитацию. Но даже в центральных военных госпиталях врачам спасти удается не всех. 

**Русская служба Би-би-си выясняла, куда и с какими травмами везут российских военных с войны в Украине. 

**🔻Как минимум 50 военных госпиталей и гражданских больниц по всей России принимают раненых. 
 
🔻С первых дней войны раненые российские солдаты и офицеры поступали в госпитали в граничащих с Россией регионах - в основном в Белгородскую область. Там военных госпитализировали в том числе в гражданские больницы. У Би-би-си есть копия документа, подтверждающего, что в белгородской больнице №2 проводили сложные нейрохирургические операции. 

🔻В диагнозах - многочисленные осколочные и огнестрельные ранения, в том числе головы, требующие трепанации черепа для удаления гематом.

🔻 Для усиления медицинского персонала в приграничные регионы Федеральное медико-биологическое агентство отправляет своих сотрудников со всей страны. Командируют их в том числе в гражданские больницы. Первые медики уехали в Белгородскую область на четвертый день войны. 

🔻Участников “спецоперации” с самыми тяжелыми травмами переводят в центральные больницы, например, в Военно-медицинскую академию в Петербурге. Там оказались не во всем готовы к наплыву раненых. По словам собеседника Би-би-си, очень быстро клиники ВМА, рассчитанные более чем на 2,5 тысячи коек, оказались переполнены. В реанимации ВМА неоднократно не хватало штатных коек. 

🔻В ВМА лечился летчик Вадим Алаев. Он получил серьезные травмы и попал в плен. Его обменяли в числе других военных в апреле. Врачам не удалось его спасти. 

🔻Вскоре после начала войны в ВМА и Белгородской области искали доноров - крови не хватало, особенно редких групп. Собирали кровь в целом для раненых участников спецоперации и конткретных военных, например, крымчанина Дмитрия Дрожевкина, который попал в военный госпиталь в Московской области с “серьезными ранениями”. 

🔻Медикаменты для раненых военных в госпитали и на фронт продолжают собирать волонтеры. Для некоторых госпиталей они ищут костыли, трости и холодильники. 

🔻За ранения военным полагаются крупные компенсации - президент России Владимир Путин подписал указ, добавив к уже предусмотренным законом страховым, еще 3 млн рублей. Но, как показывает практика, не за все увечья можно получить эти деньги.

Подробнее – в нашем материале: https://bbc.in/3Q2tT15",0,4175,11,1,1654010134,0,,0,,"[(😱, 41), (🤬, 28), (👍, 19), (😢, 7)]","BBC News | Русская служба","bbcrussian",,"Феминистское Антивоенное Сопротивление"
3127,1653935549,"channel","❗️**В защиту Марии Пономаренко 

**Уже завтра, 31 мая, состоится судебное заседание по апелляции о мере пресечения для участницы нашего движения и журналистки RusNews Марии Пономаренко.

Увы, лично Мария не сможет присутствовать в зале суда, поскольку накануне её этапировали из Питера в Барнаул.

Напомним, что ее обвиняют по ст. 207.3. УК РФ (__Публичное распространение заведомо ложной информации об использовании Вооруженных Сил Российской Федерации, исполнении государственными органами Российской Федерации своих__).

📢Ждем всех неравнодушных, кто готов поддержать Марию, завтра, **31 мая, в 14:30 в 46 зале горсуда Санкт-Петербурга.

**#новостьМС #СвободуПономаренко #МарияПономаренко",0,6040,8,1,1653935555,0,,0,,"[(❤, 142), (🤬, 23), (😢, 6), (👍, 2), (🤔, 1)]","МЯГКАЯ СИЛА","myagkaya_sila_ru",,"Феминистское Антивоенное Сопротивление"
3094,1653837878,"channel","ОБЫСК у фем-активистки ⚡⚡⚡ НОВОСИБИРСК!

В Новосибирске 27 мая около 11 утра сотрудники ФСБ провели осмотр квартиры местной жительницы Алены Дужей. Мероприятие было связано с постом от 24 февраля в телеграм-канале «Протестный Новосибирск» с призывом пожертвовать деньги вооруженным силам Украины (ВСУ). Об этом Дужая сама сообщила ОВД-Инфо.

https://ovd.news/express-news/2022/05/28/u-zhitelnicy-novosibirska-siloviki-izyali-tehniku-iz-za-prizyva-pozhertvovat",0,6248,11,1,1653837907,0,,0,,"[(🤬, 144), (👍, 9), (🤯, 5), (👏, 1), (😱, 1)]","Феминизм в регионах РФ","regfem",,"Феминистское Антивоенное Сопротивление"
3082,1653762662,"channel","**«Медиа Партизаны» объявляют ещё один набор в команду** 🔥

«__Мы обычные ребята - такие же, как и вы»

С этих слов начиналась работа над каналом «Медиа Партизаны». Прошло два месяца - за это время мы смогли вырасти из обычного открытого чата в сильную творческую инициативу. В рамках нашего канала и совместной работы с другими организациями нам удалось запустить несколько полезных проектов. Мы полностью осознаем свой уровень ответственности перед вами и нашей общей «мечтой» 🌱

**🔥 Для развития идей канала «Медиа Партизаны» мы открываем набор по данным направлениям:

**__**➤ ~~ТЕКСТ~~__ __**- ~~__редакторы и копирайтеры для статей__;
~~➤ **ГРАФИЧЕСКИЙ ДИЗАЙН** 
➤ **SMM

**__*Если вы хотите помочь сопротивлению и стать частью нашей команды - пишите __**__@mpartisans_bot__**__ **🔥
**У нас много задач и возможностей для вас - достаточно лишь вашего желания помочь. Мы можем вместе работать в интересах свободы и мира 🌱 Формат__ __сотрудничества вы выбираете для себя сами__.

**__🔥 Так же нам__** **__нужны:

__➤ 3D-художник **__окружения__;
**➤ Концепт-художник**__ со знанием matte-painting__;
**➤ Backend-разботчик**__ на Python__;
**➤** **Программист** __для настройки ботов в Telegram__.

**__Мы будем рады получить от вас рекомендации и помощь по развитию других__ __проектов от__ __нашей команды ✨

🔥 Помните__**__ - каждый из вас может стать частью информационной войны__ - [**__ссылка на публикацию__**](https://t.me/mpartisans/164). **__Для обеспечения вашей безопасности__ __мы обеспечим вас всеми необходимыми ресурсами__**__.

По вопросам сотрудничества и совместных проектов пишите в__ **__@mpartisans_bot__**__**
**Ваши **«Медиа Партизаны»**__",0,5897,26,1,1653762740,0,,0,,"[(👍, 77), (❤, 12), (🥰, 2), (🤯, 1)]","Медиа Партизаны | Нет войне","mpartisans",,"Феминистское Антивоенное Сопротивление"
3078,1653750319,"channel","**Стикерпаков много не бывает**
А антивоенных стикерпаков так тем более

Мы подготовили для вас набор [стикеров](https://t.me/addstickers/wakeup_russia) #Очнись!: там и __милые листовки__, и __важные акции с__ __инициативами__, __зеленая лента__, __больничный__ и много другого. Будем постепенно пополнять нашу коллекцию.

**Добавить стикерпак:**
👉🏻 [https://t.me/addstickers/wakeup_russia](https://t.me/addstickers/wakeup_russia)
 
 
**Стикерпаки наших друзей:**
📍 Активистка из __«Медиа Партизан»__ нарисовала потрясающие [стикеры](https://t.me/mpartisans/278), где юная девушка, борющаяся против режима, наглядно __отражает эмоции и чувства каждого из нас__!
**Добавить стикеры:**
👉🏻 https://t.me/addstickers/MPartisans

📍 Активистка из __ФАС__ подготовила [стикеры](https://t.me/femagainstwar/2938) на основе __листовок, граффити и наклеек__, которыми делятся остальные участники движения.
**Добавить стикеры: **
👉🏻 [https://t.me/addstickers/FARSTICK22](https://t.me/addstickers/FARSTICK22)

Вооружаемся стикерами по полной 💪🏻


__Есть идеи или предложения? Напишите нам в бот: __@wakeup_check_bot
__Будем вместе пополнять набор 🤗__",0,5524,39,1,1653750337,0,,0,,"[(🔥, 88), (❤, 19), (👍, 12), (🤔, 4), (🥰, 3), (🤯, 2)]","#ОЧНИСЬ!","wakeup_russia",,"Феминистское Антивоенное Сопротивление"
3034,1653658691,"channel","Ущерб от «спецоперации»* пока не подсчитан, но уже понятно, что некоторые потери не только невосполнимы, но и неизмеримы. К таковым относятся, например, потери родственных отношений: 24 февраля разделило даже самых близких людей... 

👉 «Гласная» записала [монологи украинцев](https://glasnaya.media/2022/05/27/otchim-sprosil-vragi-li-my-teper/), которые в результате «спецоперации» потеряли родных — хотя те живы.

__*Роскомнадзор обязывает СМИ называть боевые действия на территории Украины «спецоперацией».

__Иллюстрация: Анна Иванцова",0,5826,31,1,1653659011,0,,0,,"[(😢, 108), (👍, 12), (❤, 6), (🤬, 3), (🤔, 2), (🤯, 2)]","Гласная","glasnaya_media",,"Феминистское Антивоенное Сопротивление"
3030,1653651181,"channel","🚺 Полиция в Смоленске сорвала показ веб-сериала о гендерных вопросах 🚺

В среду вечером в хорошо нам знакомом креативном пространстве «Штаб» проходил специальный показ нового веб-сериала «Выйти из роли», созданного журналом «7x7». Режиссёрки проекта — Мария Чёрная, Анна Пронина и Дарья Данилова. Вот, что авторки пишут о нём в аннотации:

«Мальчики направо, девочки налево — одна из первых ограничивающих рамок, с которой мы сталкиваемся с раннего детства, – это необходимость вписываться в представления о половых различиях и гендерных ролях. Кем лучше быть: мужчиной или женщиной? Имеет ли мужчина право на макияж?»

Каждая серия посвящена отдельной теме: футбольная школа GirlPower, женщина-дальнобойщица, дрэг-квин из Екатеринбурга, транспереход в России, женщина в Дагестане.

Во время показа в «Штаб» пришла полиция. Цель их прихода неизвестна. Организаторки мероприятия не выходят на связь.

То есть понимаете, да? Теперь во время любого феминистского кинопоказа на территории России может внезапно возникнуть полиция. Либо примем это как данность и будем молчать, либо начнём активно сопротивляться.

#новости",0,5647,29,1,1653651199,0,,0,,"[(🤬, 288), (👍, 7), (🔥, 5), (😱, 5), (❤, 3), (🥰, 1), (🤔, 1)]","РФО «ОНА»","rfo_ona",,"Феминистское Антивоенное Сопротивление"
3022,1653634861,"channel","Грубость и неуважение стали фирменным «коньком» российского президента и чиновников в адрес оппонентов или простых граждан — от знаменитого «мочить в сортире» до шуток про изнасилования. Часто такую риторику называют «мужской» или «пацанской». 
Станислав Хоцкий — психолог-консультант, специалист по коррекции деструктивно-агрессивного и насильственного поведения — рассуждает в колонке для «Вёрстки» о том, какие страхи в ней заложены и какой психологический возраст у российской власти.

Материал целиком здесь: https://verstka.media/strahi-muzchin/

__Подписывайтесь на «Вёрстку» ____@svobodnieslova__",0,6954,146,1,1653634868,0,,0,,"[(👍, 185), (🔥, 13), (🤬, 7), (🤔, 4), (🥰, 1)]","Вёрстка","svobodnieslova",,"Феминистское Антивоенное Сопротивление"
